date P ETpot Q T
2010060910  0.416 0.072 0.0016  17.8
2010060911  1.109 0.073 0.0016  17.1
2010060912  0.139 0.075 0.0016  16.9
2010060913  0.000 0.194 0.0016  18.1
2010060914  0.139 0.126 0.0016  17.8
2010060915  0.000 0.112 0.0016  18.1
2010060916  0.000 0.082 0.0016  18.5
2010060917  0.000 0.061 0.0016  18.2
2010060918  0.000 0.014 0.0016  17.6
2010060919  0.000 0.003 0.0018  16.8
2010060920  0.000 0.000 0.0018  15.8
2010060921  0.000 0.000 0.0018  16.2
2010060922  0.000 0.000 0.0018  16.5
2010060923  0.139 0.000 0.0018  16.5
2010061000  0.000 0.000 0.0018  16.8
2010061001  0.000 0.000 0.0018  17.1
2010061002  0.139 0.000 0.0018  16.4
2010061003  0.000 0.004 0.0018  15.7
2010061004  0.000 0.026 0.0018  16.8
2010061005  0.000 0.092 0.0018  18.2
2010061006  0.000 0.085 0.0018  18.7
2010061007  0.000 0.135 0.0018  19.4
2010061008  0.000 0.181 0.0018  20.5
2010061009  0.000 0.312 0.0018  21.4
2010061010  0.000 0.334 0.0018  22.0
2010061011  0.000 0.375 0.0016  23.6
2010061012  0.000 0.238 0.0016  23.1
2010061013  0.000 0.211 0.0016  23.2
2010061014  0.000 0.115 0.0016  22.3
2010061015  0.000 0.044 0.0016  21.9
2010061016  0.000 0.039 0.0016  22.0
2010061017  0.000 0.044 0.0016  22.1
2010061018  0.000 0.054 0.0016  20.7
2010061019  0.000 0.011 0.0016  19.4
2010061020  0.000 0.000 0.0016  19.4
2010061021  0.000 0.000 0.0016  18.6
2010061022  0.231 0.000 0.0016  19.5
2010061023  0.115 0.000 0.0016  19.6
2010061100  1.038 0.000 0.0016  19.1
2010061101  0.115 0.000 0.0016  18.1
2010061102  0.000 0.000 0.0016  17.3
2010061103  0.000 0.004 0.0016  17.3
2010061104  0.000 0.016 0.0016  17.7
2010061105  0.000 0.066 0.0016  18.8
2010061106  0.000 0.219 0.0016  19.5
2010061107  0.000 0.286 0.0016  20.2
2010061108  0.000 0.183 0.0016  19.6
2010061109  0.000 0.121 0.0016  19.9
2010061110  0.000 0.356 0.0016  22.1
2010061111  0.000 0.493 0.0016  23.9
2010061112  0.000 0.404 0.0016  25.1
2010061113  0.000 0.453 0.0016  23.3
2010061114  0.000 0.418 0.0018  20.7
2010061115  0.000 0.183 0.0018  17.5
2010061116  0.000 0.060 0.0020  16.7
2010061117  0.000 0.025 0.0022  15.8
2010061118  0.000 0.012 0.0022  15.3
2010061119  0.000 0.002 0.0020  15.2
2010061120  0.000 0.000 0.0020  14.9
2010061121  0.000 0.000 0.0018  14.5
2010061122  0.000 0.000 0.0018  14.1
2010061123  0.000 0.000 0.0018  12.6
2010061200  0.000 0.000 0.0016  11.0
2010061201  0.000 0.000 0.0016  10.7
2010061202  0.000 0.000 0.0016   7.9
2010061203  0.000 0.006 0.0016   8.6
2010061204  0.000 0.044 0.0016  11.2
2010061205  0.000 0.125 0.0016  13.4
2010061206  0.000 0.222 0.0016  15.0
2010061207  0.000 0.212 0.0016  16.1
2010061208  0.000 0.318 0.0016  16.5
2010061209  0.000 0.211 0.0016  18.8
2010061210  0.000 0.180 0.0014  18.3
2010061211  0.000 0.125 0.0014  16.7
2010061212  0.000 0.279 0.0014  19.7
2010061213  0.000 0.365 0.0014  18.7
2010061214  0.000 0.314 0.0014  19.0
2010061215  0.000 0.332 0.0014  17.7
2010061216  0.000 0.227 0.0014  16.6
2010061217  0.000 0.162 0.0014  15.9
2010061218  0.000 0.066 0.0014  14.3
2010061219  0.000 0.013 0.0014  12.7
2010061220  0.000 0.000 0.0014  11.1
2010061221  0.000 0.000 0.0014  11.0
2010061222  0.000 0.000 0.0014   9.2
2010061223  0.000 0.000 0.0014   7.7
2010061300  0.000 0.000 0.0014   9.0
2010061301  0.000 0.000 0.0014   8.6
2010061302  0.000 0.000 0.0014   7.0
2010061303  0.000 0.010 0.0014   5.8
2010061304  0.000 0.067 0.0014   9.4
2010061305  0.000 0.130 0.0014  11.4
2010061306  0.000 0.238 0.0014  13.4
2010061307  0.000 0.228 0.0014  14.0
2010061308  0.000 0.200 0.0014  14.4
2010061309  0.000 0.295 0.0014  15.0
2010061310  0.000 0.258 0.0014  14.9
2010061311  0.000 0.230 0.0014  15.8
2010061312  0.000 0.219 0.0014  16.2
2010061313  0.000 0.233 0.0014  16.4
2010061314  0.000 0.132 0.0012  16.3
2010061315  0.000 0.106 0.0014  16.3
2010061316  0.000 0.082 0.0012  16.0
2010061317  0.000 0.049 0.0012  15.4
2010061318  0.000 0.019 0.0012  14.7
2010061319  0.000 0.005 0.0012  13.8
2010061320  0.000 0.000 0.0012  12.7
2010061321  0.000 0.000 0.0012  12.2
2010061322  0.000 0.000 0.0014  11.5
2010061323  0.000 0.000 0.0014  11.0
2010061400  0.000 0.000 0.0014  11.2
2010061401  0.000 0.000 0.0014  11.1
2010061402  0.000 0.000 0.0014   8.2
2010061403  0.000 0.008 0.0014   8.9
2010061404  0.000 0.064 0.0014  12.0
2010061405  0.000 0.152 0.0014  14.5
2010061406  0.000 0.247 0.0014  16.2
