DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = som van de neerslag in tiende millimeters van 08.00 - 08.00 UTC/
           daily precipitation amount in 0.1 mm over the period 08.00 - 08.00 UTC
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
688,20000708,    0,    0, Hupsel
688,20000709,   14,    0, Hupsel
688,20000710,   16,    0, Hupsel
688,20000711,   32,    0, Hupsel
688,20000712,   34,    0, Hupsel
688,20000713,    0,    0, Hupsel
688,20000714,   98,    0, Hupsel
688,20000715,   68,    0, Hupsel
688,20000716,   38,    0, Hupsel
688,20000717,    0,    0, Hupsel
688,20000718,    4,    0, Hupsel
688,20000719,    7,    0, Hupsel
688,20000720,    2,    0, Hupsel
688,20000721,    0,    0, Hupsel
688,20000722,    0,    0, Hupsel
688,20000723,   83,    0, Hupsel
688,20000724,    0,    0, Hupsel
688,20000725,   18,    0, Hupsel
688,20000726,   36,    0, Hupsel
688,20000727,    1,    0, Hupsel
688,20000728,  252,    0, Hupsel
688,20000729,   23,    0, Hupsel
688,20000730,    3,    0, Hupsel
688,20000731,    9,    0, Hupsel
688,20000801,    0,    0, Hupsel
688,20000802,  131,    0, Hupsel
688,20000803,    0,    0, Hupsel
688,20000804,    3,    0, Hupsel
688,20000805,    0,    0, Hupsel
688,20000806,    0,    0, Hupsel
688,20000807,    4,    0, Hupsel
688,20000808,   18,    0, Hupsel
688,20000809,    0,    0, Hupsel
688,20000810,    0,    0, Hupsel
688,20000811,    1,    0, Hupsel
688,20000812,    0,    0, Hupsel
688,20000813,    0,    0, Hupsel
688,20000814,    0,    0, Hupsel
688,20000815,    0,    0, Hupsel
688,20000816,    0,    0, Hupsel
688,20000817,   71,    0, Hupsel
688,20000818,    0,    0, Hupsel
688,20000819,    9,    0, Hupsel
688,20000820,   95,    0, Hupsel
688,20000821,   41,    0, Hupsel
688,20000822,    0,    0, Hupsel
688,20000823,    0,    0, Hupsel
688,20000824,    0,    0, Hupsel
688,20000825,    1,    0, Hupsel
688,20000826,    0,    0, Hupsel
688,20000827,  109,    0, Hupsel
688,20000828,  152,    0, Hupsel
688,20000829,    0,    0, Hupsel
688,20000830,    0,    0, Hupsel
688,20000831,    0,    0, Hupsel
688,20000901,    0,    0, Hupsel
688,20000902,   47,    0, Hupsel
688,20000903,  106,    0, Hupsel
688,20000904,   92,    0, Hupsel
688,20000905,    0,    0, Hupsel
688,20000906,   20,    0, Hupsel
688,20000907,  220,    0, Hupsel
688,20000908,   12,    0, Hupsel
688,20000909,    4,    0, Hupsel
688,20000910,    5,    0, Hupsel
688,20000911,    0,    0, Hupsel
688,20000912,    0,    0, Hupsel
688,20000913,    0,    0, Hupsel
688,20000914,    0,    0, Hupsel
688,20000915,    0,    0, Hupsel
688,20000916,  231,    0, Hupsel
688,20000917,    0,    0, Hupsel
688,20000918,    0,    0, Hupsel
688,20000919,    0,    0, Hupsel
688,20000920,    3,    0, Hupsel
688,20000921,  233,    0, Hupsel
688,20000922,   15,    0, Hupsel
688,20000923,    0,    0, Hupsel
688,20000924,    0,    0, Hupsel
688,20000925,   15,    0, Hupsel
688,20000926,   30,    0, Hupsel
688,20000927,    2,    0, Hupsel
688,20000928,   16,    0, Hupsel
688,20000929,   39,    0, Hupsel
688,20000930,    0,    0, Hupsel
688,20001001,   17,    0, Hupsel
688,20001002,  159,    0, Hupsel
688,20001003,    0,    0, Hupsel
688,20001004,    0,    0, Hupsel
688,20001005,    7,    0, Hupsel
688,20001006,   14,    0, Hupsel
688,20001007,    7,    0, Hupsel
688,20001008,    0,    0, Hupsel
688,20001009,   33,    0, Hupsel
688,20001010,   57,    0, Hupsel
688,20001011,   73,    0, Hupsel
688,20001012,   20,    0, Hupsel
688,20001013,    0,    0, Hupsel
688,20001014,    0,    0, Hupsel
688,20001015,    0,    0, Hupsel
688,20001016,    9,    0, Hupsel
688,20001017,   20,    0, Hupsel
688,20001018,   21,    0, Hupsel
688,20001019,   21,    0, Hupsel
688,20001020,   15,    0, Hupsel
688,20001021,    0,    0, Hupsel
688,20001022,    0,    0, Hupsel
688,20001023,    0,    0, Hupsel
688,20001024,   34,    0, Hupsel
688,20001025,    0,    0, Hupsel
688,20001026,    8,    0, Hupsel
688,20001027,   32,    0, Hupsel
688,20001028,   85,    0, Hupsel
688,20001029,   10,    0, Hupsel
688,20001030,   24,    0, Hupsel
688,20001031,   74,    0, Hupsel
688,20001101,    1,    0, Hupsel
688,20001102,   61,    0, Hupsel
688,20001103,   51,    0, Hupsel
688,20001104,    0,    0, Hupsel
688,20001105,    7,    0, Hupsel
688,20001106,    8,    0, Hupsel
688,20001107,   25,    0, Hupsel
688,20001108,   18,    0, Hupsel
688,20001109,   39,    0, Hupsel
688,20001110,    6,    0, Hupsel
688,20001111,    2,    0, Hupsel
688,20001112,    0,    0, Hupsel
688,20001113,   83,    0, Hupsel
688,20001114,    0,    0, Hupsel
688,20001115,    0,    0, Hupsel
688,20001116,    4,    0, Hupsel
688,20001117,   14,    0, Hupsel
688,20001118,   30,    0, Hupsel
688,20001119,    4,    0, Hupsel
688,20001120,   41,    0, Hupsel
688,20001121,    7,    0, Hupsel
688,20001122,   19,    0, Hupsel
688,20001123,    7,    0, Hupsel
688,20001124,   38,    0, Hupsel
688,20001125,    0,    0, Hupsel
688,20001126,   51,    0, Hupsel
688,20001127,    3,    0, Hupsel
688,20001128,   58,    0, Hupsel
688,20001129,    1,    0, Hupsel
688,20001130,    1,    0, Hupsel
688,20001201,    1,    0, Hupsel
688,20001202,    8,    0, Hupsel
688,20001203,   14,    0, Hupsel
688,20001204,    0,    0, Hupsel
688,20001205,    0,    0, Hupsel
688,20001206,    6,    0, Hupsel
688,20001207,   66,    0, Hupsel
688,20001208,   25,    0, Hupsel
688,20001209,    8,    0, Hupsel
688,20001210,    4,    0, Hupsel
688,20001211,  152,    0, Hupsel
688,20001212,   43,    0, Hupsel
688,20001213,   33,    0, Hupsel
688,20001214,   57,    0, Hupsel
688,20001215,   32,    0, Hupsel
688,20001216,   56,    0, Hupsel
688,20001217,    0,    0, Hupsel
688,20001218,    0,    0, Hupsel
688,20001219,    0,    0, Hupsel
688,20001220,    0,    0, Hupsel
688,20001221,    0,    0, Hupsel
688,20001222,    0,    0, Hupsel
688,20001223,    0,    0, Hupsel
688,20001224,   15,    0, Hupsel
688,20001225,   11,    4, Hupsel
688,20001226,    0,    4, Hupsel
688,20001227,    0,    2, Hupsel
688,20001228,   41,    2, Hupsel
688,20001229,    1,    2, Hupsel
688,20001230,   30,    2, Hupsel
688,20001231,   11,    1, Hupsel
688,20010101,   17,  997, Hupsel
688,20010102,   78,    0, Hupsel
688,20010103,   11,    0, Hupsel
688,20010104,   28,    0, Hupsel
688,20010105,   23,    0, Hupsel
688,20010106,  157,    0, Hupsel
688,20010107,    3,    0, Hupsel
688,20010108,    0,    0, Hupsel
688,20010109,    7,    0, Hupsel
688,20010110,    0,    0, Hupsel
688,20010111,    0,    0, Hupsel
688,20010112,    0,    0, Hupsel
688,20010113,    0,    0, Hupsel
688,20010114,    0,    0, Hupsel
688,20010115,    0,    0, Hupsel
688,20010116,    0,    0, Hupsel
688,20010117,    0,    0, Hupsel
688,20010118,    0,    0, Hupsel
688,20010119,    2,    0, Hupsel
688,20010120,   11,    0, Hupsel
688,20010121,   10,    1, Hupsel
688,20010122,   50,    4, Hupsel
688,20010123,   18,    0, Hupsel
688,20010124,   80,    0, Hupsel
688,20010125,    1,    0, Hupsel
688,20010126,   28,    0, Hupsel
688,20010127,   25,    0, Hupsel
688,20010128,   42,    0, Hupsel
688,20010129,    0,    0, Hupsel
688,20010130,    0,    0, Hupsel
688,20010131,    1,    0, Hupsel
688,20010201,   10,    1, Hupsel
688,20010202,    7,    0, Hupsel
688,20010203,   68,   15, Hupsel
688,20010204,   62,   15, Hupsel
688,20010205,  154,    0, Hupsel
688,20010206,   32,    0, Hupsel
688,20010207,   31,    0, Hupsel
688,20010208,   49,    0, Hupsel
688,20010209,   48,    0, Hupsel
688,20010210,    0,    0, Hupsel
688,20010211,    6,    0, Hupsel
688,20010212,    2,    0, Hupsel
688,20010213,   17,    0, Hupsel
688,20010214,    0,    0, Hupsel
688,20010215,    0,    0, Hupsel
688,20010216,    0,    0, Hupsel
688,20010217,   37,    0, Hupsel
688,20010218,    0,    0, Hupsel
688,20010219,    0,    0, Hupsel
688,20010220,    7,    0, Hupsel
688,20010221,    9,    0, Hupsel
688,20010222,    8,    0, Hupsel
688,20010223,   35,    0, Hupsel
688,20010224,    9,  997, Hupsel
688,20010225,    0,    0, Hupsel
688,20010226,    6,  997, Hupsel
688,20010227,    1,    0, Hupsel
688,20010228,    0,    0, Hupsel
688,20010301,   19,    0, Hupsel
688,20010302,   19,    0, Hupsel
688,20010303,    0,    0, Hupsel
688,20010304,    0,  997, Hupsel
688,20010305,    0,    0, Hupsel
688,20010306,    0,    0, Hupsel
688,20010307,    0,    0, Hupsel
688,20010308,   22,    0, Hupsel
688,20010309,    4,    0, Hupsel
688,20010310,   33,    0, Hupsel
688,20010311,   67,    0, Hupsel
688,20010312,   31,    0, Hupsel
688,20010313,   14,    0, Hupsel
688,20010314,   16,    0, Hupsel
688,20010315,    0,    0, Hupsel
688,20010316,   10,    0, Hupsel
688,20010317,    0,    0, Hupsel
688,20010318,   45,    0, Hupsel
688,20010319,  175,    0, Hupsel
688,20010320,    5,    0, Hupsel
688,20010321,    0,    0, Hupsel
688,20010322,   41,    0, Hupsel
688,20010323,    4,    0, Hupsel
688,20010324,  131,    0, Hupsel
688,20010325,    0,    0, Hupsel
688,20010326,    0,    0, Hupsel
688,20010327,    0,    0, Hupsel
688,20010328,    6,    0, Hupsel
688,20010329,   80,    0, Hupsel
688,20010330,   42,    0, Hupsel
688,20010331,   10,    0, Hupsel
688,20010401,    0,    0, Hupsel
688,20010402,    0,    0, Hupsel
688,20010403,    0,    0, Hupsel
688,20010404,    0,    0, Hupsel
688,20010405,   66,    0, Hupsel
688,20010406,   89,    0, Hupsel
688,20010407,   46,    0, Hupsel
688,20010408,   35,    0, Hupsel
688,20010409,    5,    0, Hupsel
688,20010410,    3,    0, Hupsel
688,20010411,   24,    0, Hupsel
688,20010412,    0,    0, Hupsel
688,20010413,    7,    0, Hupsel
688,20010414,    0,    0, Hupsel
688,20010415,  101,  997, Hupsel
688,20010416,   71,    0, Hupsel
688,20010417,    7,    0, Hupsel
688,20010418,   38,    0, Hupsel
688,20010419,   22,  997, Hupsel
688,20010420,   42,    0, Hupsel
688,20010421,    9,    0, Hupsel
688,20010422,    0,    0, Hupsel
688,20010423,    0,    0, Hupsel
688,20010424,    0,    0, Hupsel
688,20010425,   79,    0, Hupsel
688,20010426,   21,    0, Hupsel
688,20010427,   62,    0, Hupsel
688,20010428,   19,    0, Hupsel
688,20010429,   14,    0, Hupsel
688,20010430,   34,    0, Hupsel
688,20010501,    0,    0, Hupsel
688,20010502,    0,    0, Hupsel
688,20010503,    0,    0, Hupsel
688,20010504,   40,    0, Hupsel
688,20010505,    0,    0, Hupsel
688,20010506,    0,    0, Hupsel
688,20010507,    0,    0, Hupsel
688,20010508,    0,    0, Hupsel
688,20010509,    0,    0, Hupsel
688,20010510,    0,    0, Hupsel
688,20010511,    0,    0, Hupsel
688,20010512,    0,    0, Hupsel
688,20010513,    0,    0, Hupsel
688,20010514,    0,    0, Hupsel
688,20010515,   28,    0, Hupsel
688,20010516,    0,    0, Hupsel
688,20010517,   17,    0, Hupsel
688,20010518,    7,    0, Hupsel
688,20010519,   62,    0, Hupsel
688,20010520,    0,    0, Hupsel
688,20010521,    0,    0, Hupsel
688,20010522,    0,    0, Hupsel
688,20010523,    0,    0, Hupsel
688,20010524,    0,    0, Hupsel
688,20010525,    0,    0, Hupsel
688,20010526,    0,    0, Hupsel
688,20010527,    0,    0, Hupsel
688,20010528,   10,    0, Hupsel
688,20010529,   11,    0, Hupsel
688,20010530,    0,    0, Hupsel
688,20010531,   23,    0, Hupsel
688,20010601,   11,    0, Hupsel
688,20010602,  130,    0, Hupsel
688,20010603,   64,    0, Hupsel
688,20010604,   17,    0, Hupsel
688,20010605,    0,    0, Hupsel
688,20010606,    3,    0, Hupsel
688,20010607,   22,    0, Hupsel
688,20010608,   21,    0, Hupsel
688,20010609,   17,    0, Hupsel
688,20010610,    0,    0, Hupsel
688,20010611,  100,    0, Hupsel
688,20010612,    9,    0, Hupsel
688,20010613,    0,    0, Hupsel
688,20010614,    0,    0, Hupsel
688,20010615,    0,    0, Hupsel
688,20010616,    0,    0, Hupsel
688,20010617,  105,    0, Hupsel
688,20010618,   19,    0, Hupsel
688,20010619,    0,    0, Hupsel
688,20010620,    0,    0, Hupsel
688,20010621,    0,    0, Hupsel
688,20010622,   28,    0, Hupsel
688,20010623,    0,    0, Hupsel
688,20010624,    0,    0, Hupsel
688,20010625,    0,    0, Hupsel
688,20010626,    0,    0, Hupsel
688,20010627,    0,    0, Hupsel
688,20010628,    1,    0, Hupsel
688,20010629,    0,    0, Hupsel
688,20010630,    0,    0, Hupsel
688,20010701,  118,    0, Hupsel
688,20010702,    0,    0, Hupsel
688,20010703,    0,    0, Hupsel
688,20010704,    0,    0, Hupsel
688,20010705,    0,    0, Hupsel
688,20010706,    0,    0, Hupsel
688,20010707,    9,    0, Hupsel
688,20010708,    3,    0, Hupsel
688,20010709,   47,    0, Hupsel
688,20010710,    0,    0, Hupsel
688,20010711,   63,    0, Hupsel
688,20010712,   38,    0, Hupsel
688,20010713,   14,    0, Hupsel
688,20010714,    0,    0, Hupsel
688,20010715,   38,    0, Hupsel
688,20010716,    0,    0, Hupsel
688,20010717,    0,    0, Hupsel
688,20010718,   80,    0, Hupsel
688,20010719,   91,    0, Hupsel
688,20010720,   49,    0, Hupsel
688,20010721,  216,    0, Hupsel
688,20010722,    1,    0, Hupsel
688,20010723,   19,    0, Hupsel
688,20010724,    3,    0, Hupsel
688,20010725,    0,    0, Hupsel
688,20010726,    0,    0, Hupsel
688,20010727,    0,    0, Hupsel
688,20010728,    2,    0, Hupsel
688,20010729,    0,    0, Hupsel
688,20010730,    0,    0, Hupsel
688,20010731,    0,    0, Hupsel
688,20010801,    0,    0, Hupsel
688,20010802,    0,    0, Hupsel
688,20010803,  130,    0, Hupsel
688,20010804,   46,    0, Hupsel
688,20010805,   23,    0, Hupsel
688,20010806,   13,    0, Hupsel
688,20010807,   34,    0, Hupsel
688,20010808,  262,    0, Hupsel
688,20010809,   72,    0, Hupsel
688,20010810,   75,    0, Hupsel
688,20010811,    7,    0, Hupsel
688,20010812,    0,    0, Hupsel
688,20010813,   38,    0, Hupsel
688,20010814,    0,    0, Hupsel
688,20010815,    0,    0, Hupsel
688,20010816,   25,    0, Hupsel
688,20010817,    3,    0, Hupsel
688,20010818,   70,    0, Hupsel
688,20010819,   67,    0, Hupsel
688,20010820,    0,    0, Hupsel
688,20010821,    0,    0, Hupsel
688,20010822,    0,    0, Hupsel
688,20010823,    0,    0, Hupsel
688,20010824,    0,    0, Hupsel
688,20010825,    0,    0, Hupsel
688,20010826,    0,    0, Hupsel
688,20010827,  240,    0, Hupsel
688,20010828,    0,    0, Hupsel
688,20010829,    0,    0, Hupsel
688,20010830,    0,    0, Hupsel
688,20010831,    7,    0, Hupsel
688,20010901,   35,    0, Hupsel
688,20010902,    1,    0, Hupsel
688,20010903,   33,    0, Hupsel
688,20010904,  122,    0, Hupsel
688,20010905,   35,    0, Hupsel
688,20010906,   13,    0, Hupsel
688,20010907,    5,    0, Hupsel
688,20010908,   58,    0, Hupsel
688,20010909,   97,    0, Hupsel
688,20010910,   43,    0, Hupsel
688,20010911,   13,    0, Hupsel
688,20010912,    8,    0, Hupsel
688,20010913,   40,    0, Hupsel
688,20010914,   12,    0, Hupsel
688,20010915,   35,    0, Hupsel
688,20010916,   36,    0, Hupsel
688,20010917,   94,    0, Hupsel
688,20010918,   89,    0, Hupsel
688,20010919,    0,    0, Hupsel
688,20010920,   38,    0, Hupsel
688,20010921,    9,    0, Hupsel
688,20010922,   14,    0, Hupsel
688,20010923,   50,    0, Hupsel
688,20010924,   27,    0, Hupsel
688,20010925,   96,    0, Hupsel
688,20010926,    3,    0, Hupsel
688,20010927,   55,    0, Hupsel
688,20010928,   34,    0, Hupsel
688,20010929,    1,    0, Hupsel
688,20010930,   17,    0, Hupsel
688,20011001,   35,    0, Hupsel
688,20011002,   91,    0, Hupsel
688,20011003,  140,    0, Hupsel
688,20011004,    0,    0, Hupsel
688,20011005,    1,    0, Hupsel
688,20011006,    0,    0, Hupsel
688,20011007,   35,    0, Hupsel
688,20011008,    0,    0, Hupsel
688,20011009,    0,    0, Hupsel
688,20011010,    0,    0, Hupsel
688,20011011,    0,    0, Hupsel
688,20011012,    0,    0, Hupsel
688,20011013,    0,    0, Hupsel
688,20011014,    0,    0, Hupsel
688,20011015,   10,    0, Hupsel
688,20011016,    0,    0, Hupsel
688,20011017,    0,    0, Hupsel
688,20011018,    0,    0, Hupsel
688,20011019,   46,    0, Hupsel
688,20011020,    0,    0, Hupsel
688,20011021,   14,    0, Hupsel
688,20011022,    0,    0, Hupsel
688,20011023,    0,    0, Hupsel
688,20011024,   99,    0, Hupsel
688,20011025,   76,    0, Hupsel
688,20011026,    1,    0, Hupsel
688,20011027,   44,    0, Hupsel
688,20011028,    0,    0, Hupsel
688,20011029,    2,    0, Hupsel
688,20011030,    0,    0, Hupsel
688,20011031,    3,    0, Hupsel
688,20011101,   44,    0, Hupsel
688,20011102,    0,    0, Hupsel
688,20011103,    0,    0, Hupsel
688,20011104,    0,    0, Hupsel
688,20011105,   14,    0, Hupsel
688,20011106,   13,    0, Hupsel
688,20011107,   44,    0, Hupsel
688,20011108,  129,    0, Hupsel
688,20011109,   61,    0, Hupsel
688,20011110,    0,    0, Hupsel
688,20011111,    0,    0, Hupsel
688,20011112,    1,    0, Hupsel
688,20011113,   50,    0, Hupsel
688,20011114,   14,    0, Hupsel
688,20011115,    0,    0, Hupsel
688,20011116,    1,    0, Hupsel
